,device_id,longitude,latitude,created_at
0,62205a8e-7361-11e6-984b-00163e00416f,115.1704378,34.620953,2016-09-13 22:49:02
1,62205a8e-7361-11e6-984b-00163e00416f,115.1704386,34.6209494,2016-09-13 22:43:53
2,62205a8e-7361-11e6-984b-00163e00416f,115.1704373,34.6209508,2016-09-13 22:38:49
3,62205a8e-7361-11e6-984b-00163e00416f,115.1704392,34.6209508,2016-09-13 22:33:39
4,62205a8e-7361-11e6-984b-00163e00416f,115.1704397,34.6209524,2016-09-13 22:28:34
5,62205a8e-7361-11e6-984b-00163e00416f,115.1704392,34.6209521,2016-09-13 22:23:23
6,62205a8e-7361-11e6-984b-00163e00416f,115.1704376,34.620953,2016-09-13 22:18:13
7,62205a8e-7361-11e6-984b-00163e00416f,115.1704384,34.6209532,2016-09-13 22:13:02
8,62205a8e-7361-11e6-984b-00163e00416f,115.1707151,34.6210482,2016-09-13 22:07:51
9,62205a8e-7361-11e6-984b-00163e00416f,115.170718,34.621049,2016-09-13 22:02:46
10,62205a8e-7361-11e6-984b-00163e00416f,115.1707039,34.6210449,2016-09-13 21:57:40
11,62205a8e-7361-11e6-984b-00163e00416f,115.1707115,34.621046,2016-09-13 21:52:31
12,62205a8e-7361-11e6-984b-00163e00416f,115.1704408,34.6209505,2016-09-13 21:47:22
13,62205a8e-7361-11e6-984b-00163e00416f,115.1704373,34.6209516,2016-09-13 21:42:12
14,62205a8e-7361-11e6-984b-00163e00416f,115.1704373,34.6209535,2016-09-13 21:37:02
15,62205a8e-7361-11e6-984b-00163e00416f,115.1704395,34.62095,2016-09-13 21:31:58
16,62205a8e-7361-11e6-984b-00163e00416f,115.1704395,34.6209489,2016-09-13 21:26:47
17,62205a8e-7361-11e6-984b-00163e00416f,115.1704395,34.6209497,2016-09-13 21:21:42
18,62205a8e-7361-11e6-984b-00163e00416f,115.1706991,34.6210409,2016-09-13 21:16:35
19,62205a8e-7361-11e6-984b-00163e00416f,115.1704395,34.6209513,2016-09-13 21:11:25
20,62205a8e-7361-11e6-984b-00163e00416f,115.1704395,34.6209505,2016-09-13 21:06:18
21,62205a8e-7361-11e6-984b-00163e00416f,115.1701139,34.6207954,2016-09-13 21:01:13
22,62205a8e-7361-11e6-984b-00163e00416f,115.170476236,34.6209720412,2016-09-13 20:56:08
23,62205a8e-7361-11e6-984b-00163e00416f,115.170483692,34.6209772879,2016-09-13 20:50:57
24,62205a8e-7361-11e6-984b-00163e00416f,115.170702,34.6210436,2016-09-13 20:45:49
25,62205a8e-7361-11e6-984b-00163e00416f,115.1707075,34.6210455,2016-09-13 20:40:44
26,62205a8e-7361-11e6-984b-00163e00416f,115.1705249,34.62096724,2016-09-13 20:35:34
27,62205a8e-7361-11e6-984b-00163e00416f,115.1707088,34.6210463,2016-09-13 20:30:25
28,62205a8e-7361-11e6-984b-00163e00416f,115.170476118,34.6209570867,2016-09-13 20:25:16
29,62205a8e-7361-11e6-984b-00163e00416f,115.1707126,34.6210495,2016-09-13 20:20:11
30,62205a8e-7361-11e6-984b-00163e00416f,115.170479176,34.6207826,2016-09-13 20:15:01
31,62205a8e-7361-11e6-984b-00163e00416f,115.170488171,34.6207821,2016-09-13 20:09:52
32,62205a8e-7361-11e6-984b-00163e00416f,115.1704975,34.6207937,2016-09-13 20:04:42
